Window	RT_s	RI	Annotated	X001	X002	X003	X004	X005	X006	X007	X008	X009	X010	X011	X012	X013	X014	X015	X016	X017	X018	X019	X020	X021	X022	X023	X024	X025	X026	X027	X028	X029	X030	X031	X032	X033	X034	X035	X036	X037	X038	X039	X040	X041	X042	X043	X044	X045	X046	X101	X102	X103	X104	X105	X106	X107	X108	X109	X109_1	X110	X111	X112	X113	X114	X115	X116	X117	X118	X119	X120	X121	X122	X123	X124	X125	X126	X127	X128	X129	X130	X131	X132	X133	X134
19	Win004_C01	390.02	-99	1796486	1879034	1854312	2168927	2229929	22438	2096673	1575436	2231630	2291492	2105051	1711620	1382306	1763401	2656720	1683430	1753580	5423	2214131	2319517	1793679	2056702	1595165	2113149	1927473	1518147	1678908	1777178	1483202	1555258	1734331	1867252	1815635	1483900	1172234	1659721	1236991	2031084	1506781	1812919	1819741	1200830	1865998	1341818	1462081	1276276	1700695	2684597	1523059	3552125	2189774	1811101	2298281	2305722	1708507	10230	876754	11246	1871291	1483239	1963240	5471	1786176	1305525	1794526	3061	667	5438	1650308	14009	1241951	1047	1559047	5942	942055	1797723	1236691	1485636	1614833	31876	1494998
20	Win004_C02	405.1	-99	2257147	1733635	1618111	1562020	1712936	936587	1909086	2161659	1769787	2091585	1595771	1787898	1599000	1195964	1730490	1424408	1375935	225743	1132210	1197760	1491928	1913401	1898207	1681048	1789091	1492307	1637951	1875291	1291179	887463	782875	1119389	1217759	950555	1226581	1228461	1823088	1482021	1310103	2068795	1377786	1767557	750115	1241143	1516437	1231438	1126023	1212355	1376175	1025305	1053205	1854945	1280016	1737225	1082963	568688	214504	586832	1284032	1677996	1032586	303984	1702196	1271626	1005645	351102	164982	542289	1747491	504443	1242104	534292	1442294	358332	1330734	694933	978574	904277	529745	810662	1540892
21	Win004_C03	416.98	-99	3284868	2363897	3022973	2267878	2544440	1877374	3132574	2872870	3581966	3069096	2731857	2962919	2629388	2919896	2729699	2998893	2115866	917185	1942157	2104160	2567596	2095103	3073707	2548369	2200895	1992866	2076496	3119913	2666931	1981511	2443045	2896431	2778033	2511251	2544709	2315427	3273892	2808440	3229109	3162259	4120652	3108007	2468527	1769313	2212234	1936790	2696101	2777871	2844915	1841816	2242365	2489578	2558070	2635723	2116542	2017648	11222	1887921	2404365	2632602	2678269	9857	2711911	2254633	2057218	1439325	17876	2222927	2580608	2326264	2381800	1631356	2273375	2375923	2091852	2686668	2812418	2607605	2725516	2891920	3076673
22	Win004_C04	423.4	-99	2561758	3250931	2371129	3575185	2794431	4634	2643616	2541436	2568078	2873835	2537811	2510060	2574762	1757945	3086212	2164035	2220226	588	2418593	3431999	2113555	3632959	2474464	2631444	3183469	1703575	2358724	2824258	2347897	3413033	3295668	2428915	2441524	3087028	2045126	3189706	2273126	2730584	2343661	2744672	2307144	1885641	3607389	1765394	2048706	1722489	3027304	3627329	2043469	5105448	2076399	2655544	2306240	2907726	2096208	1326064	9320	11061	2749426	2159537	2158055	3528	2315751	1781951	1870979	13548	4074	4811	2275202	1393	1400600	1560	1786075	7538	1666293	2233685	2241863	2323174	2129074	1845199	2701036
23	Win004_C05	438.48	-99	728846	832681	685700	637413	831503	1069156	875358	1325056	699987	673054	783707	678965	883077	583505	689346	673734	719624	584426	538068	628464	689469	817779	608372	658977	658097	1093697	1123897	384259	409081	864737	408217	351493	365545	675933	382140	370723	194649	637637	421396	454538	392744	414655	383363	614960	708842	695484	427345	500301	529742	524951	602508	701194	733481	627784	873465	714170	479532	449607	641882	561878	643801	475400	700367	422586	511124	392677	35215	584487	1078890	593932	874379	445403	515624	218990	339732	337570	471687	399430	331385	259234	299989
24	Win004_C06	457.41	-99	319992	270493	139360	218777	236062	24300	282850	279835	243047	211226	223916	235900	246078	43493	241508	60828	125823	3627	138333	263421	147297	293229	220117	144448	223504	153137	159107	184218	132209	218874	195706	113493	98528	189984	141581	206464	110970	232033	147906	168163	88359	141521	203595	40101	138853	69586	201654	250575	85528	199613	42457	234322	101765	176622	145062	42089	23932	1048	139835	184095	102610	17318	152443	80814	29165	11583	393	16482	204604	19892	69664	3816	46653	17197	165616	73816	226211	116650	46403	31502	174939
25	Win005_C01	465.12	-99	1052845	1023108	1129047	929604	1035439	664924	982491	1389010	1223925	1237842	1153579	1012199	677076	744910	1241206	980837	840192	5973	671509	919764	912632	1059116	1038431	771909	964176	775055	921598	1644916	1169582	1065511	994192	1218303	1432231	1360657	1254086	1492858	1779941	1276868	1827646	1396756	1792086	1198192	689659	823387	1149550	1100679	845195	1113235	1085088	907205	770659	887807	716725	993750	679237	529471	523735	512099	886790	1065689	837047	498748	918195	637289	901858	530380	5151	589894	779839	1182	632033	488395	741779	3387	716781	1186104	1124716	1284950	1067084	1092063	1385423
26	Win005_C02	497.21	-99	2598086	2043839	2322650	1256985	2164411	984949	2267893	1895388	2106070	2458923	1787997	2717383	2411668	2961233	2000851	1985810	947281	212735	1411643	1426883	2034523	1950947	1627511	2177690	1484310	900439	1006348	2667008	1304861	1622606	1951108	1604305	1090857	2000581	887428	1388625	2621993	1334685	2058459	1901440	2189726	1523359	2038139	298546	1618968	1258187	1888060	2035209	2828514	1535260	1380544	2436060	1356736	2093773	2448257	1061455	165172	174776	1212198	2728888	2203230	167476	2021977	1630830	322374	220020	63063	229846	2100565	1129338	1061070	116133	1369349	146934	1098245	1021996	1553868	1596459	784434	620954	2023751
27	Win005_C03	500.42	-99	3042003	4492164	4153821	5531620	6198031	3725394	5695546	4451766	4693763	3732015	5285702	4633804	4401759	3348177	4950762	3343579	7289201	8364477	9549037	7052259	3705264	4428719	4604616	3020379	4069825	9221850	6455652	4029269	7482821	7634090	4875907	4501419	6152085	7373020	7376494	6789227	1616165	6760990	4545755	4180721	4609479	4138774	7614365	3358739	3596258	3405646	5108177	6441200	2803691	6492104	3912170	4291135	7139758	4534877	12267721	9699908	8182	3255825	5606019	3323006	3317525	3098101	4345234	4949302	2717188	1371	1422790	3815543	4921337	4766717	5482849	2436887	4127407	5278872	6923340	6704535	8097539	8559206	6106605	6028807	4230849
28	Win005_C04	526.09	-99	2134757	1274102	918709	1408319	2159818	485223	1353177	1403962	1003521	1805205	1287785	1658291	1226515	567521	1643628	483578	1209312	210402	900147	992952	777961	974548	1019152	1299544	851493	1380624	296028	840478	465238	462898	804155	358301	694793	398425	371350	316156	1372287	712119	520402	1326388	523366	496549	639590	555274	448029	717263	485437	804750	489809	562551	372062	1026611	528810	735702	422851	186401	52334	5675	410901	767943	810628	64028	811083	223582	635	123552	0	410428	992396	515447	653725	686481	645243	206490	155966	351122	253466	351094	8683	2313	545293
