Window	RT_s	RI	Annotated	X201	X202	X203	X204	X205	X206	X207	X208	X209	X210	X211	X212	X213	X214	X215	X216	X217	X218	X219	X220	X221	X222	X223	X224	X225	X226	X227	X228	X229	X230	X231	X232	X233	X234	X235	X236	X237	X238	X239	X240	X241	X242	X243	X244	X245	X246	X247	X248	X249	X249_1	X250	X250_1	X251	X252	X252_1	X253	X253_1	X254	X255	X255_1	X256	X257	X258	X259	X260	X261	X262	X262_1	X263	X264	X265	X266	X267	X268	X268_1	X269	X270	X271	X272	X273	X273_1	X274	X275	X276	X277	X278	X279	X280
104	Win025_C09	1672.09	-99	472547	494731	544808	206436	279742	495927	427374	449364	411490	291597	220656	438552	444150	506034	343415	269060	506841	394072	416675	441986	488719	460214	595013	350904	381321	290966	626621	541608	455794	271863	92094	253832	446258	240573	179359	174825	128576	194252	113519	260849	142253	155612	62972	399902	234532	288650	154980	105694	7013	154542	128491	75977	265747	45065	210673	115523	277376	237309	73837	141779	402620	131193	70355	234131	109464	204551	1457	486728	119285	194381	205249	187032	299993	35003	110768	213803	143030	123296	203787	25141	124709	73158	71940	159150	166328	81371	110203	157303
105	Win026_C01	1684.61	-99	28579	19206	34860	16625	30187	23924	25192	26743	22219	22175	21664	33653	37215	35306	26602	22143	41972	21762	27520	26443	37537	26449	31115	17516	31352	33391	31669	27425	36077	24051	5507	6533	18026	6792	9225	5761	5544	12067	9872	10751	7146	11869	6516	15495	9159	16596	3001	4696	2032	10624	14676	12897	23458	8889	20333	40678	20692	19980	8977	19648	44113	11676	17236	28601	20549	19373	348	28469	19995	12564	21206	20284	27090	9283	20777	19668	14447	23104	22749	1219	9162	6994	3434	10903	7151	2393	6059	5226
106	Win026_C02	1692.63	-99	29322	40161	32587	21682	23187	32244	19270	38491	40315	29855	16971	24468	26100	19898	35240	24481	20509	42108	24812	36592	43776	53113	47980	46007	47208	30557	40331	29382	38574	10201	8711	38606	55670	5668	28443	7685	18347	6244	18615	54051	30429	18804	16077	37355	28415	19501	86464	38970	7792	24272	30751	15031	15475	13049	38708	17476	26907	29940	32285	25130	40420	21431	22021	10858	13773	15330	2492	54841	34669	52627	34764	25676	34261	9400	24143	13519	18835	20886	23272	4227	26972	10311	12158	4350	10054	8153	9535	8471
107	Win026_C03	1706.75	-99	20472	40321	32444	13889	19320	32442	21730	52472	52697	22101	6010	23215	26459	60688	11702	19439	21547	44589	29098	60875	94734	35731	34866	45316	27906	15494	34030	95858	64786	19304	30399	16558	51335	37263	12438	13097	18983	32145	7224	29266	2804	11218	6703	25059	15430	13227	13470	10844	2830	28517	6038	6969	7728	5733	21648	17581	14228	31805	24502	13958	24207	10881	13424	13711	12878	5835	338	20021	28821	12530	27708	17081	34349	6645	40771	9041	5960	29915	22868	1367	18775	14419	16643	16861	4476	22636	3745	11256
108	Win026_C04	1716.7	-99	177	1031	366	481	1454	547	530	337	671	519	2465	1346	5419	210	156	1955	25	2524	1234	713	2457	809	58	664	2074	1083	119	1787	134	3	40340	4187	686	21993	2799	6861	21388	25607	45461	64303	27	45591	18665	1032	38573	3469	35542	20449	1573	2032	816	906	2294	333	1239	18	337	1235	3107	5029	471	251	71	4001	18	6	286	569	172	1084	114	1591	5000	404	214	640	2070	2428	1820	113	10188	17417	6805	2984	1650	6910	4965	2440
109	Win027_C01	1727.29	-99	136888	168428	126438	134253	175680	129773	155903	156404	100544	198162	171088	163879	137815	213898	130474	141937	234428	144931	216689	146020	164737	189983	255849	156553	224508	184238	174729	190703	199952	135945	103973	56584	153557	99053	116430	68726	100274	159116	103475	168487	58249	79158	95348	109380	62398	147685	81790	39413	65619	126287	64474	137610	109487	62744	147813	204349	105467	84528	67516	98005	276111	105374	51218	102917	117581	72949	21945	167979	123863	75882	167384	120418	126509	109465	116329	61783	134008	102711	120542	27561	57119	41441	31684	65189	28059	60844	59334	49294
110	Win027_C02	1730.82	-99	520005	1195037	834587	454855	1005613	1139452	1135801	911081	1101244	702448	324281	432092	991411	936324	683616	991075	612164	1403389	1115827	774679	1831803	630914	1013952	1199712	741378	495907	1443503	1435128	2388699	820693	9598	76697	211814	20434	20414	8881	4558	356	63815	634432	65917	33320	3444	379471	21202	44143	72501	190676	121043	820578	70989	515742	321979	148384	471517	335292	400698	601936	516196	769788	713781	230538	201450	257372	181519	230246	3517	595661	647442	330245	1020983	620168	526990	119897	989506	233073	94877	470185	768644	15669	76310	11518	77733	5675	15505	5425	610	2777
111	Win027_C03	1745.58	-99	330683	282329	203292	178213	189608	224710	133131	230173	337106	151288	91030	188751	248678	237344	150815	174529	151692	225491	151604	289148	235308	302436	279074	266104	364688	165320	251629	255375	298801	185146	104229	601647	691580	206442	307047	163275	239538	169457	177852	294068	289554	240033	215236	337976	193138	254246	216955	215390	40742	157739	753991	81201	117105	45418	226844	78020	204507	172873	140359	107704	149532	147585	68780	96940	81865	97210	10419	251702	182948	218562	197181	162618	215818	69331	147131	146029	124024	142175	113329	56660	367870	150216	135163	135854	92427	157620	71766	116216
112	Win027_C04	1755.53	-99	719749	1029049	1320445	487451	598002	578928	441619	999398	2065308	709024	157273	854694	804597	2026245	407817	508212	441494	2310328	723843	706006	2296339	1335441	1065528	1016975	1166886	725456	1004207	3794098	1290020	348934	88193	282564	337923	102145	111742	55828	38506	49955	176153	586807	27703	118494	27391	184264	43871	30486	112327	98933	124191	1107866	92469	280023	336359	233360	645613	335171	517587	1297812	766392	473901	677603	567839	359879	462115	175597	348718	32644	489105	693272	561607	1027248	434445	825298	160531	1367857	1001385	138745	425747	1304954	133991	118563	89912	84368	35431	45084	16036	42180	12702
113	Win027_C05	1759.38	-99	1380744	1195541	1635200	848499	854469	1209558	1034693	1210881	1123587	1157784	670131	1202351	1256171	1213373	1184770	848575	1631594	979539	1254744	934790	1447459	1170269	1240720	805429	874094	889902	1311110	1334021	1294095	757602	262708	492393	657971	478047	461557	381316	469317	523932	315870	310866	500070	448932	189933	620079	340591	711590	261863	429506	58330	216076	253935	139279	496057	180828	467124	303163	483985	479497	135812	370928	669070	279002	208201	446216	320483	410226	9612	670025	248191	324026	322443	496253	647049	163510	275597	358871	263124	237539	294318	48920	366831	180750	89865	341928	260234	138693	353079	238567
114	Win028_C01	1792.76	-99	61534	2306	6454	5970	10381	2978	800	11544	330587	6299	1749	40606	104891	25249	826548	88170	14492	3113	51031	8068	6384	6779	2922	2523669	234559	18175	20592	1923	36117	290935	223082	178695	317290	443978	597647	898805	669053	293545	247887	316035	334674	382437	246789	114136	291960	213676	339861	1936628	67037	9120	4946	15384	19546	460	1732	25319	1145	10369	7613	9353	5841	1516	1627	12982	1376	16610	2781	9370	12743	7082	3591	11224	6604	13086	1691	151	5570	6525	6432	46487	444340	175657	417917	63209	56503	141586	671981	26652
115	Win028_C02	1801.1	-99	1055300	1145050	1200657	857656	1031293	1288843	862879	850868	1219845	874786	872786	1237507	1208748	1503700	1234893	926515	1533760	1103357	1079921	1257849	1492563	1076143	1367133	917228	1165818	1112987	1216072	1031011	1306541	882148	304723	333646	527393	306181	313276	274360	220320	368356	252514	317394	319569	388203	197484	434092	246014	295102	203532	212720	160596	569578	502186	551352	1025087	386344	1057478	1646542	1001017	1128320	483994	681297	2188000	689473	413204	1042877	643274	692036	129015	1150276	637702	644166	803754	867637	1154165	348355	836516	823541	696018	753990	707187	135416	316347	166697	115404	163134	182525	146404	138361	197232
116	Win028_C03	1821.64	-99	1229039	799925	980599	596563	948906	877713	646420	943784	609227	611522	730924	829735	659771	589221	727500	580007	972173	690809	776398	753720	1015773	775763	852757	517658	607081	644295	795544	915957	1119447	1140198	394771	369094	375556	285978	354914	299110	291688	315231	158260	284695	286389	187591	129508	345114	261736	386584	298345	163027	104529	232258	179267	180263	282846	177474	466944	203324	340694	398473	135130	275898	599498	275220	231189	355210	278122	446050	71189	639418	200817	289113	266793	459439	506585	181442	323680	290738	256758	254966	350475	143473	258769	105399	138076	328038	496878	142712	311833	370791
117	Win028_C04	1832.55	-99	639259	833730	520018	336700	555392	881856	564368	980037	427828	727626	429439	507624	1328047	974413	860797	489581	769880	1007804	946936	460800	550981	897658	1016527	948428	778450	775970	1354533	671131	608419	642492	138030	75349	137663	79661	203186	41847	73472	243716	95215	101740	74676	13188	45616	316490	274987	71208	35114	31231	55472	199131	38856	80892	290652	259286	375401	165270	712924	155020	102010	189371	258939	276189	278120	206034	74754	146715	70297	260006	240142	107621	433571	176661	178793	92016	252046	168752	288545	190099	474822	45819	17718	3863	7735	1657	6000	4161	12333	9742
118	Win028_C05	1838	-99	12225	30034	43462	40354	5570	21035	23500	2179	5204	38429	64634	10875	1148	55209	159576	149445	4380	85128	7748	89383	60775	34372	22851	536259	126790	52553	4536	63542	2002	226801	60044	58369	238827	91365	426763	412714	353612	173909	200319	142663	256113	214926	1017880	561966	22689	141674	129143	1075577	274527	17242	23225	10476	8913	86446	66729	13430	7659	42543	17828	11078	32582	9959	20548	28685	3296	7664	18530	60352	7666	450	6656	7483	20532	13373	18817	11936	15717	4143	62291	5061	209786	107181	157354	26889	122650	2632	288275	90239
