Window	RT_s	RI	Annotated	X201	X202	X203	X204	X205	X206	X207	X208	X209	X210	X211	X212	X213	X214	X215	X216	X217	X218	X219	X220	X221	X222	X223	X224	X225	X226	X227	X228	X229	X230	X231	X232	X233	X234	X235	X236	X237	X238	X239	X240	X241	X242	X243	X244	X245	X246	X247	X248	X249	X249_1	X250	X250_1	X251	X252	X252_1	X253	X253_1	X254	X255	X255_1	X256	X257	X258	X259	X260	X261	X262	X262_1	X263	X264	X265	X266	X267	X268	X268_1	X269	X270	X271	X272	X273	X273_1	X274	X275	X276	X277	X278	X279	X280
44	Win015_C05	1146.43	-99	525511	699199	597730	370680	447868	592159	507236	494305	552203	537249	394086	523414	696542	676274	520898	565568	686272	461344	528708	566362	686949	586630	668766	599917	542192	548974	603645	655302	688898	498202	306557	522184	818816	405936	412792	382273	341888	359623	427568	704277	377768	342319	316929	434533	347847	349569	383376	311510	89944	554890	270320	189090	395534	236311	605360	330473	469845	527968	400961	309238	601596	347129	258240	380413	304356	279521	57995	615439	593695	349079	500559	444114	564556	211435	402347	373511	355596	340408	512551	147545	415792	311139	270312	302066	206997	246252	211363	306534
45	Win015_C06	1157.98	-99	134856	204722	257289	149624	221078	170316	191985	139829	199792	155408	150258	213048	152180	172393	455489	158691	325310	111363	190899	173945	275049	213011	195448	168265	163846	191267	214507	183672	221257	342814	147840	170802	173672	146919	276529	186245	42748	162568	125218	191778	357706	141248	116551	109031	154725	160342	171106	133647	10310	34844	72309	7219	103182	70544	61479	124000	56029	154773	50635	25477	323961	195617	53467	230144	87412	121557	8352	91608	157201	113300	126717	268739	229161	9166	28461	164593	122434	120608	132820	23496	30710	164822	119214	154255	156483	151517	224502	131940
46	Win016_C01	1169.85	-99	348155	520440	267226	351996	262969	310719	281101	332122	321402	547322	325930	389361	445562	381735	237542	457506	381462	234278	370139	367555	178058	286931	395648	406624	313020	282893	326244	362095	347894	448243	125077	90467	203098	67934	163277	99954	78335	135724	86000	178955	125065	94559	138517	228227	55891	144138	68654	136638	25254	191413	149781	84263	230904	108283	262743	160301	276506	290585	80257	73033	503901	189986	164454	310016	226764	287695	8526	318399	287105	255957	166473	210867	307155	72032	121460	189642	173852	193010	213160	19722	196916	74109	56059	43652	55503	57500	59802	38313
47	Win016_C02	1175.95	-99	753155	639192	815810	483353	493012	607713	418876	669368	481756	353120	401879	559321	647330	584547	491960	340669	1153378	359283	494876	583156	545663	780295	688434	605016	821059	563164	779153	517176	441372	343953	53243	166202	231975	49357	28370	140816	183071	117656	52605	92672	173780	35694	72024	244970	144869	65830	46946	35086	36517	458407	291764	91983	158623	88650	257301	213985	459396	355261	88376	120598	622019	154795	67525	252257	182228	329430	26344	512205	220786	190083	159798	355790	439869	60537	99842	243479	356023	174441	412324	12974	64416	44252	24408	72034	27559	15799	27080	26988
48	Win016_C03	1183.65	-99	285145	526468	493476	284500	247662	337551	240682	357369	335233	352565	174626	408512	410100	543230	468205	283994	534522	333143	499269	354734	384735	426911	629372	595368	303237	414561	386723	440014	622098	315003	356276	553752	738363	378279	296073	524333	557039	346183	281362	753292	742016	513330	252263	267673	332905	216399	339082	317884	2289	148615	2562	17470	181403	65499	273348	123980	159654	262096	130050	97117	335245	102289	49926	75306	107070	69589	2686	229423	203014	121031	178137	169328	246295	22178	115015	155995	133192	154548	120135	27545	299732	207261	123282	230719	194592	187619	234213	219559
49	Win016_C04	1188.15	-99	138164	448236	220613	216631	189069	327766	121671	150057	100318	366941	225100	166391	192442	245344	232802	319629	244125	151617	171606	198771	152825	156209	409300	226693	165804	258912	218710	106567	268247	495888	90414	82202	116879	58050	203413	61091	40025	149195	92157	83072	98090	97451	128493	130280	74155	98364	40262	68224	76687	110286	96120	109205	120204	142861	141118	111089	163249	163564	53599	108526	394878	112532	130495	232210	123210	99742	1901	315848	233433	129168	125133	199565	207190	47643	72186	70032	267916	117445	318711	19841	160590	55140	28584	63003	58579	46157	38128	66778
50	Win016_C05	1193.28	-99	135113	316554	149678	110953	116998	179875	73366	140679	83512	261022	179792	162762	121043	129548	188596	295495	195206	101846	116058	142305	104148	116262	234372	128228	145201	171550	160888	111250	161440	288994	260151	28169	77147	45822	50808	23112	19862	60386	27012	39341	35846	7590	52049	124878	23619	23928	15462	12013	1598	58830	46203	16595	126519	9397	113041	4623	97775	84628	5092	7550	194544	6294	10095	144873	76403	83225	157	186974	81123	170630	94167	104414	152225	9995	8777	58489	92386	80910	113381	3999	75513	13254	232	23578	12410	8752	2924	6441
51	Win016_C06	1199.06	-99	777390	1193721	961264	740663	824703	985521	1031892	844043	992223	1045138	819897	876235	1118679	1251629	1017141	765999	1249525	817161	1004251	983434	1241808	1101912	1208950	1171847	1190122	1037915	1145108	1242065	1338521	1110096	695644	948075	1549770	916022	877241	907217	885600	848689	784300	1412166	724137	848896	682882	894117	637462	454166	972581	694569	113914	816839	386705	309855	667708	360737	834289	688395	693698	858747	623091	565006	932541	465287	312472	492081	472877	404385	301	940039	1027027	501842	852142	643965	947065	231735	590393	562337	383925	609967	708605	224884	684542	454465	379897	400306	331629	360918	296802	291473
52	Win016_C07	1202.27	-99	399431	473249	423846	304497	439575	570626	483297	371626	453681	375388	269263	391309	531783	552201	522412	407388	536921	415945	467709	434520	580437	526006	568041	528618	452950	390342	599033	601265	535816	341474	217156	406576	778408	286380	354588	295998	266455	264285	267889	544531	328772	292204	264678	356784	252997	214828	307035	230018	75362	426011	258689	196794	298346	148528	445433	223172	346820	359545	305998	311941	371023	226399	194367	215124	201308	174885	50636	446619	483325	264134	433564	342622	440658	132312	385529	297523	200461	276996	342335	103738	299178	219298	218362	175970	124379	186434	107873	179163
53	Win017_C01	1226.34	-99	1756868	3094797	2535309	1382005	1880399	3713602	2463517	2179163	2279086	3223015	1430951	1648214	4265352	3958455	3814853	1514829	3924098	2355248	2122453	2207110	2972567	2069171	3533077	3115980	2330404	2073149	3120468	3442589	4307124	2812767	2698237	1876211	2937102	2351999	2107935	2125306	1821779	1511487	2157017	4139486	2018367	1952085	1423693	2009416	2005860	1822159	2322216	1460342	156068	1580096	617165	224515	1395327	712005	2543430	604174	1227653	1792303	699194	713495	2270022	1231311	734365	1167174	557153	546163	2179	2708552	1343152	1001188	1183034	1457142	2765027	516321	1631778	1130548	1041657	755769	1393545	303665	2448565	1119712	788562	1028594	674551	924376	953055	851263
54	Win017_C02	1238.21	-99	2645475	1868262	1864431	1033409	1097326	1304422	1468394	1161773	1554644	1495456	860524	1264492	1757757	1643473	1534797	925812	1958977	1042467	1424637	1012682	1285415	1491475	1806907	1415247	1441665	1374940	1584824	1398911	1353088	1052573	983480	1515795	1577464	989020	891918	1168316	1528614	1630643	837649	1537155	945002	1010797	746520	895363	979774	818982	1048009	931303	3674	719557	294067	254090	788262	337891	2151258	490160	772142	695812	331131	504491	994645	564901	343941	592573	525208	429768	4970	1400041	651402	523453	611003	833195	865437	225601	542289	587250	516444	498608	669182	223883	1000375	585900	455323	599689	537862	622755	515378	485749
55	Win017_C03	1252.97	-99	723897	1053483	1010150	655392	891433	908341	751335	998947	1260011	771317	653408	715517	1088425	1313506	782108	769960	1083534	1123768	1015633	1327355	1927916	1243784	1061558	1216313	1100480	915246	1144808	2120194	1618805	681606	416100	618492	1450654	732585	609313	450622	628334	479312	526300	1012637	460644	578774	363656	652700	545791	392445	835758	450501	183904	1029844	440789	387203	604597	347738	1072397	513778	666357	1108885	1095681	739962	795065	469975	385076	447402	604400	304664	41750	803564	1239609	577035	1082186	705479	988000	300445	1049633	554511	328955	796885	831701	165411	544572	340081	313060	377195	250048	259474	128218	333692
56	Win017_C04	1255.54	-99	456417	553549	517301	332956	450570	486769	386577	404379	526472	477357	263099	410627	520797	612908	487543	490588	475927	439445	420453	580689	701528	554277	569890	530915	534377	467359	578430	721558	788009	418357	262886	527518	852598	434509	463862	480186	372696	375216	344983	790297	389656	341438	268437	421200	350255	247638	376568	280462	119482	516059	344627	194380	319382	166005	469488	252461	397549	523090	419328	353463	483446	248232	185359	314262	241105	271763	54445	520737	589420	328939	471298	409765	541190	174936	472305	277266	258387	348980	416334	120497	356547	249565	224928	253173	188479	217657	186685	251782
57	Win017_C05	1264.52	-99	231316	463688	230652	326939	234237	320300	177222	250321	182625	480494	272309	215207	305043	307045	262894	189330	352003	225058	218298	255240	206463	218672	395948	285591	247373	278883	322581	211225	319537	642974	39201	58835	144748	49317	91472	56566	58047	136847	66513	81071	71735	71894	99624	156035	59560	87413	53014	97050	42488	135408	102925	97175	156846	112561	205320	111026	194857	201344	56663	102747	392422	128131	128177	318879	169281	177366	1571	360191	273666	125463	165131	231413	287159	65761	78166	133772	210258	167969	241958	9222	211374	34194	16244	46233	27666	29373	21975	17160
58	Win018_C01	1279.61	-99	122462	315333	203198	116212	135469	195500	89934	109396	82373	212669	151275	160616	127973	193586	158339	981261	140505	120845	159905	133637	136229	124727	192327	160117	109992	162916	158742	108911	171302	301472	757265	117997	110354	85299	114039	123782	86055	132364	111688	89428	94831	78250	128731	110025	41700	71762	45862	54003	481	71800	68333	82793	172149	83839	111458	87511	114585	87673	34930	74262	400808	61123	100775	138867	90528	74599	1549	188712	102219	319634	96932	131601	152760	42869	50286	95500	146990	69787	186812	5110	145944	45487	32848	63021	65055	54585	56567	81124
59	Win018_C02	1290.84	-99	924987	1088191	1155556	618372	590991	965150	765925	795298	945251	721006	373564	709532	1011020	1020659	883164	342276	1395528	632607	808522	927871	1077879	796170	1177389	886231	710013	699648	861428	868835	981790	361347	437208	595514	1364161	387454	410606	570877	670110	448029	299930	788270	902394	541377	381874	667678	529205	381500	394383	393603	27596	288493	88107	53863	418888	81623	530411	236957	313463	596292	210151	134623	989247	172878	117281	241062	198407	206295	3454	372146	414705	243753	314485	278817	540459	24369	180405	248388	185845	259680	247957	61900	267108	270691	93540	332551	192376	177872	238857	141620
60	Win018_C03	1300.15	-99	129124	281783	157773	102640	164394	225477	187226	99382	107166	145364	122989	104581	234563	159477	164748	139069	195977	132213	163006	116382	182162	136137	269916	195779	978149	236578	162043	185442	142961	125468	115617	104047	182436	161022	179380	213168	170623	607474	115389	218295	123391	95938	145950	87922	134621	143013	186733	130230	4502	91648	10656	3015	101427	15916	78361	4940	88983	138987	10305	29919	152894	163182	8755	51242	76426	63094	2537	74130	60902	42207	92976	86529	166142	10404	52372	88154	24071	85881	73276	7419	124433	221887	5333	132717	93717	36364	105764	87390
61	Win018_C04	1306.56	-99	804626	1144888	1049995	645294	859026	1076340	967083	902932	1105748	868537	568206	840185	1000922	1357718	927723	799420	1069757	957131	945693	1188456	1424276	1240206	1275840	1149714	1137462	870254	1229488	1586139	1393965	819225	661457	1047941	1880699	1026938	940657	751997	804631	753298	882733	1875499	771039	824585	608135	799241	832358	511829	983205	717531	159735	1013375	617670	361304	666774	323884	960004	514295	745434	1164621	851674	668469	811824	592090	337563	512279	514774	365150	44220	1019754	1234050	657176	1027917	664397	1102445	264626	904073	707127	401774	697142	839151	183010	1010285	533044	627556	612150	361396	474414	291806	462358
62	Win018_C05	1310.1	-99	638581	535960	695431	460133	471741	423814	261672	1142589	558071	338847	668181	544814	863654	473321	244798	181613	2019609	196256	512268	733080	352426	488574	458898	695787	1066004	801641	611733	508178	456495	208832	9253	56625	111481	11828	23954	47420	43502	22702	22473	10927	94952	19496	15921	164312	21030	13682	4320	7812	7465	439789	210000	52080	121019	78354	213755	104286	370437	238520	28327	73429	682482	151378	79973	193740	180850	322054	1692	410130	269900	155568	95440	469750	338405	32977	67331	186619	172001	161787	281778	0	11243	661	2324	1556	5326	13101	2656	9686
63	Win018_C06	1318.76	-99	304977	470489	367328	196241	212032	308285	198336	324232	212427	391882	376614	316513	302435	284006	271614	458980	534999	185835	306835	274155	308714	297288	312200	262631	345518	309647	286490	288878	316458	356274	270961	190665	207527	118628	168987	213100	223474	229121	102877	209410	309338	221178	150409	256384	210958	315489	140027	102666	1523	150251	95439	2543	125047	41506	151285	80723	186835	174570	35482	85622	283936	94028	4020	144640	115090	177590	2423	225898	131168	154365	113222	149389	231745	3788	60013	104754	135242	120731	183462	17473	200886	177241	3779	277537	350253	110049	274243	297876
64	Win018_C07	1324.21	-99	118566	139388	142942	125026	91757	117480	64835	92743	99458	117663	84081	91387	106598	101970	124243	111463	125924	90044	85186	98692	79983	90921	167118	130502	93470	120860	124515	87268	119524	113865	60511	18875	59488	47467	61078	25491	26497	72513	27877	49005	37292	36861	36679	67723	22943	69071	16146	72999	470	50247	55914	49219	57039	45619	83862	61102	69798	115735	23940	69608	184011	40679	47851	117442	67220	82944	306	132309	133632	58043	91255	100903	129452	18796	30194	50228	85258	71473	78130	3899	47897	22184	455	12319	9400	15583	11602	15322
65	Win019_C01	1331.6	-99	1033908	847449	1012151	597301	634122	1006666	709425	665148	752114	742629	542074	756594	809223	897578	873759	882708	1101547	672410	784249	769616	887404	949634	1114786	812483	756476	827851	920052	859734	1077729	757232	601968	970017	844896	666682	828361	1034257	615753	639299	577876	935316	1024170	705397	526075	693383	407042	585526	587920	493460	83986	436983	276462	178891	555850	268738	688474	340628	468446	465064	283360	497689	535938	430089	328368	390644	331368	335790	191	917438	397309	455142	524024	503307	646917	291398	437287	411188	483070	343702	543998	210183	616559	412605	335383	631434	618542	536578	654384	660940
66	Win019_C02	1335.45	-99	361034	900018	657595	458188	407501	722786	304608	494240	515905	653414	401603	444932	827103	852492	836370	1446338	752860	385740	437927	446720	480629	484515	659125	414230	438187	574442	605326	494856	738544	920537	392200	235714	579138	391279	326674	416499	725805	363959	282994	528975	402968	357361	215405	385376	345044	302974	335987	262444	43834	183787	159950	111771	153945	138003	365503	120980	176437	255041	93599	112479	581509	195154	142091	390521	144234	200182	46774	438854	227451	379910	204407	269747	355825	49293	108273	202130	213484	140854	266753	69961	227209	114453	69584	190106	211876	147163	158446	182144
67	Win019_C03	1341.22	-99	2285069	3397097	2702087	1897258	1817989	2955462	3522024	2594240	2393948	3059164	2026585	2465552	4097473	3969916	3842367	1767003	4934925	2136588	3244730	2271350	2976903	3054477	4981471	2978423	2818502	2632258	3345615	3058764	2654311	1970731	1460420	1950997	3087202	1680992	2004373	2504425	2008297	1648078	1490896	2803317	1954841	1802377	1516751	1661120	1542528	1277919	1497797	1517307	76219	995056	336340	196200	1301583	756612	1614921	1002830	1181858	1172863	664324	704567	1628520	801046	481934	754069	884630	588992	431	1523491	1360635	733194	1331849	1193704	1399595	300026	744502	1116847	753285	1314739	1065222	313099	1106735	867772	540033	691312	560520	550149	669426	397514
68	Win019_C04	1355.02	-99	640434	1049346	933197	623760	826304	857920	733033	801170	981311	748355	410980	767213	845389	1223514	643421	730532	784654	954395	626286	993353	1375792	1002246	935258	950768	1037454	740798	832986	1485705	1377007	681650	366619	981482	1721762	700078	789524	596985	529574	467895	612717	1296712	619781	777268	506063	748201	625209	427215	804168	497903	340694	971881	762944	356704	414689	236792	947250	420177	636907	1138466	927755	617492	819320	424916	292299	378518	520634	349210	32787	905033	1372925	547232	923445	649335	969305	266648	828364	517683	272672	595241	775619	222416	811199	367551	306732	492473	206108	385155	173844	344350
69	Win020_C01	1369.79	-99	286472	229363	217777	161019	103186	137779	182643	206426	312480	207906	149670	204023	174588	167284	166335	153366	224113	148630	216885	183917	150409	201297	174250	175295	111960	153324	152915	215775	186763	216043	62316	115236	122380	59879	93626	101690	139419	161968	43053	78044	137940	146419	46763	161635	76143	187131	80538	75499	4736	46367	38109	14117	71115	23108	94721	25394	79962	131279	18904	50494	178315	58294	37669	121831	66921	125289	10404	129338	95166	88907	69621	106825	131098	32479	13908	74835	55168	97916	48442	6511	92785	99950	10360	108053	132970	76686	115867	124542
70	Win020_C02	1378.45	-99	124915	309065	126381	104078	162138	201577	109886	155223	69600	202554	171524	156705	197836	158458	131248	111441	268255	94446	139034	165752	105159	94260	174140	125406	163280	172865	168393	119272	169896	258385	9919	20010	47852	30039	41770	15874	16610	28186	19640	17424	16392	22482	35136	72920	21272	32772	8297	18225	16188	55168	97898	41311	66772	55774	81710	60824	107323	116711	24042	51023	252186	53448	39022	320661	48690	89638	1029	145806	90708	59184	57077	94692	155836	20503	33567	67163	115834	65647	102690	2918	30696	7443	3146	7603	9668	4281	4426	6730
71	Win020_C03	1382.94	-99	192738	414977	240620	171313	224088	282637	128803	283268	155117	263131	248999	234835	322503	239656	183054	176431	452261	134247	187488	222239	155181	150573	258780	181323	272234	267862	240930	181643	262785	241128	29627	34507	70673	49275	49518	22085	30283	49087	23470	33333	18385	30683	35535	96323	23255	47997	10786	38681	21943	88180	123403	39363	77924	66949	111015	61155	142858	135434	26942	54713	332718	76840	51696	305674	58314	123220	548	179755	121342	91495	88217	145273	238531	30043	43997	84529	127520	76634	128883	406	35086	7359	7426	5066	13135	10574	10569	7311
72	Win020_C04	1386.47	-99	974543	1776914	1105617	879022	776077	863923	684057	1121992	951352	1139427	906914	864833	1195190	774004	521861	1289604	1365948	496935	609473	753101	441396	477763	888319	655994	866158	718913	695241	563505	836554	945863	193017	62413	241570	108059	186283	106288	139316	306197	125408	130485	98563	191199	99254	305732	135154	264480	64239	144039	43862	272068	218443	105852	343669	151198	499970	154070	402228	464828	51737	77727	1204666	250940	153008	611333	282848	443789	257	945370	520844	459820	365540	445703	637696	82475	98240	219886	318921	311976	381567	25306	128758	75906	20018	55487	23550	64022	27418	26988
73	Win020_C05	1389.68	-99	377526	867149	440050	288694	280161	480552	336020	316725	394268	420608	290077	266301	523452	514444	453133	163276	699654	313215	380318	366795	407453	297934	729342	396602	347020	320790	440920	488359	550551	657838	271042	243737	450112	116285	290478	228385	195719	232716	161332	291433	327303	202225	183370	261367	134725	80102	175533	148599	16574	158536	47182	8650	179832	112709	265377	98194	162192	261552	60900	66340	330893	78985	78242	70371	82851	92569	1394	257078	197808	98916	210377	170576	257155	14182	106283	129860	150454	78132	88353	15928	216341	105247	72843	71247	38567	69565	74778	44445
74	Win020_C06	1404.12	-99	938149	1245592	1272693	786141	1125213	1130532	879815	941306	1357996	1065256	701203	872792	1196634	1530473	894505	828085	1197391	1104873	950478	1546364	1743570	1327767	1338118	1259467	1501762	1030818	1353489	2034855	1736725	824331	368708	977542	1814935	785894	870728	564915	826035	567971	722349	1454628	628342	690506	455601	885025	709334	454934	1053274	574372	37261	1009678	680507	173350	572125	232289	1143622	379370	702895	1199452	899434	607131	908376	509894	267626	501910	599560	351021	28333	1070017	1440830	586077	984879	763187	1150535	139067	988846	561399	330277	754205	802691	191973	916572	393770	343444	439904	302845	337413	205131	439040
75	Win021_C01	1421.45	-99	95654	75391	115792	119666	138657	17501	125346	143421	117410	161296	184015	204954	220495	243384	223292	7256	319984	241730	358218	243289	243801	238479	12986	246867	259848	344602	331470	273531	312926	280205	274435	333263	318905	272500	226408	276027	302139	143899	208571	245438	302270	283602	245511	267994	66405	91896	87543	152695	63714	30221	86495	31978	72922	76069	38241	104955	62805	144655	123107	50303	158288	169830	148468	144847	203377	174682	1083	7174	214630	214548	119826	230097	214547	211467	67554	218285	6072	204376	16176	255524	110158	271772	233415	245738	223617	213005	220171	3839
76	Win021_C02	1434.61	-99	2858906	3578943	4211502	2287378	2354759	3620956	1593428	4608908	2632580	1351562	2376509	3003502	3499740	3218684	1611640	1268756	7092827	1478948	1847049	3668192	1550725	1393856	2928873	1966624	3478139	2267301	2323087	2377130	2371745	801368	65966	219447	574792	99249	96703	103233	150270	188273	64875	105914	209464	103884	93669	650252	151547	227702	84045	114887	38253	1798977	1210678	178714	646689	605440	1151347	521733	2019358	1349335	135679	325704	7054503	694868	303843	4524813	684403	1285010	22075	2064826	1010790	713152	520182	1280099	1787338	147144	349464	585481	1328868	1040194	826168	18275	36447	63798	36343	28690	25858	31876	30702	34890
77	Win021_C03	1436.86	-99	2748870	3668294	3084151	2224296	2323562	3250375	3056948	2332025	3146007	2478371	2109373	2255423	3239163	3364869	2902113	1448441	4243735	2175682	2524259	2662416	2801997	3071312	3795712	2040624	3176947	2173312	2912907	3123601	2845483	1671093	662069	1324575	2905018	795666	1109311	1457705	1031616	1136248	742318	1596941	1332849	1166879	1007460	1594958	926670	832159	998347	895334	125082	919194	469691	166296	1212929	703185	1553771	986497	1050830	1072207	474282	538767	1596060	656842	445646	604150	956870	601739	129460	1530541	1369445	695932	1453243	1177350	1655620	197244	682134	1054551	681882	1214851	896231	192291	700692	479633	303778	436874	299991	308255	350960	310292
78	Win022_C01	1473.12	-99	149751	212343	222991	176836	178489	84216	169204	140110	178053	150844	106886	120781	147612	130546	180993	68477	144615	156080	119024	130964	102126	109030	61599	116501	118717	131340	117470	119814	155401	169194	134347	109335	131346	89385	96832	93636	5795	99806	104947	128463	143238	87012	87507	98151	91515	127670	139450	219186	5908	5678	103885	14055	74848	96449	8737	101709	17814	89811	106577	6474	91264	116906	116318	107460	176998	111987	67755	22773	121973	70148	90455	89910	140886	97029	7121	99289	8301	98340	24370	143002	19021	93430	64946	99241	70767	79983	102382	22177
79	Win022_C02	1488.85	-99	77489	165840	79872	64478	85478	103403	54283	98557	55076	123113	126262	91532	99661	81471	68263	87369	163473	59197	72122	93168	60237	58201	106178	71449	94798	110210	68085	81833	87219	113563	30142	24922	36170	19534	36481	26321	29273	24941	11179	29909	35509	44702	24950	74640	24542	38710	12651	16775	826	45127	59718	16587	43378	28129	57564	24285	72731	58733	6467	28546	148268	33882	23163	128291	27212	52229	1981	86284	38163	39723	35794	61530	84789	14793	19242	24919	71675	45688	66629	426	26336	26632	1513	473	18773	24212	14477	26682
80	Win022_C03	1492.38	-99	917986	1005985	1295004	387669	613898	836947	596362	790407	617538	1250954	1134452	786598	682506	698605	1111050	1014107	871644	668623	1104414	657118	1248939	1141109	899035	485046	702585	671093	827087	1055274	1111594	1125758	804833	1063349	942707	621299	922042	1122145	1125118	1274935	489131	1081384	1984780	1478210	635382	1326647	1208564	2175026	948152	550254	705	81123	53848	12397	279315	20084	302531	21745	238069	404716	21644	130488	253603	139900	95922	193307	148349	438348	1719	512929	70716	232278	260366	312927	379316	6757	98536	218661	327872	321298	377339	36096	912163	1089414	363664	1589253	2372638	742631	1770309	2024538
81	Win022_C04	1501.36	-99	229768	254901	281416	124005	132020	149056	106556	463573	460246	403476	123672	118565	238488	517862	353188	1447833	547465	621777	290034	262373	752044	324996	181269	460052	1036534	562773	312305	1025330	418013	121904	429599	657680	791471	763211	756442	1321480	1622725	1286630	856149	979665	1629970	1241957	1169022	1377124	96166	375689	808876	691217	2070546	451338	469122	54904	107428	35279	271848	59069	104524	219932	500220	171009	229944	79038	80629	109977	86694	66557	1808	63328	324652	154766	295078	213588	186461	89847	466592	67018	37442	239879	261370	23935	92702	157993	588744	464805	314963	276294	332315	739565
82	Win022_C05	1526.07	-99	313558	440304	392806	249062	222637	484687	306199	393168	362162	405823	264711	266266	405964	421590	290978	204390	504651	285280	301917	277215	370596	431819	396392	285197	456139	259688	331033	417197	385375	214737	114943	229931	366320	92726	168857	230131	166544	215690	139941	261553	188772	197506	167785	238907	133216	146160	106252	101696	10897	142251	66006	30808	130256	67946	171033	119976	148507	142289	95367	44658	258342	84802	46035	56043	105754	71044	630	194684	132973	97061	140407	103193	138798	37396	72813	108634	87929	132892	130167	27861	92362	83921	41550	76669	69503	70189	32332	62162
83	Win022_C06	1535.06	-99	503635	475265	412430	369388	469856	432782	303544	355245	389925	332323	203264	327118	516488	438663	346742	309656	357628	400426	270206	434635	412680	446377	569086	492063	630666	404508	421725	439869	451532	300205	88145	724814	1092377	215140	434641	243041	310850	221906	246787	538274	392116	324870	272279	436794	276756	298051	284502	313486	83458	286204	969449	121016	226521	108047	365837	149136	405797	386699	207513	215661	302805	276007	162928	243677	201459	218328	70879	478781	338730	361233	356569	313743	454449	123100	164277	295472	251034	189655	232148	92880	487349	196657	196463	166640	109401	222634	90439	146952
